"post_id","date","username","likes_count","comments_count","caption","hashtags","engagement_rate"
471,2020-02-04,"fundacja_echo",47,0,"Zobaczcie: Relacja z demonstracji w Warszawie. #polskijezykmigowy #PJM #prawa #news","#polskijezykmigowy #PJM #prawa #news",1.04
207,2020-02-11,"muzeumslaskie",491,50,"Ważne: Sztuka nie potrzebuje słów, by wzruszać. #sztuka #Głusi #muzeum #kultura","#sztuka #Głusi #muzeum #kultura",3.01
559,2020-02-11,"swiat_gluchych",272,35,"Zobaczcie: Relacja z demonstracji w Warszawie. #polskijezykmigowy #Głusi #news #PJM","#polskijezykmigowy #Głusi #news #PJM",2.19
527,2020-02-17,"migam_pl",423,58,"Zobaczcie: Nasze tłumaczki są dostępne 24/7. #PJM #biznes #aplikacja #Głusi","#PJM #biznes #aplikacja #Głusi",1.34
561,2020-02-17,"migam_pl",861,51,"Ważne: Technologia łamie bariery komunikacyjne. #polskijezykmigowy #tech #biznes #aplikacja","#polskijezykmigowy #tech #biznes #aplikacja",2.53
67,2020-02-20,"pzg_zg",114,5,"Zobaczcie: Konferencja prasowa bez tłumacza? Skandal. #koronawirus #maseczki #PJM #Deaf","#koronawirus #maseczki #PJM #Deaf",1.59
508,2020-02-26,"iwonacichosz",1198,17,"Cześć! Chwila relaksu z rodziną. #PJM #polskijezykmigowy #społeczność #Głusi","#PJM #polskijezykmigowy #społeczność #Głusi",2.53
5,2020-02-28,"swiat_gluchych",306,34,"Hej! Szczepienia - punkt dostępny z tłumaczem. #koronawirus #Deaf #pandemia #zdrowie","#koronawirus #Deaf #pandemia #zdrowie",2.43
268,2020-03-16,"migam_pl",975,52,"Hej! Technologia łamie bariery komunikacyjne. #startup #tech #biznes #społeczność","#startup #tech #biznes #społeczność",2.85
335,2020-03-20,"fundacja_echo",123,11,"Ważne: Konferencja prasowa bez tłumacza? Skandal. #polskijezykmigowy #zdrowie #koronawirus #PJM","#polskijezykmigowy #zdrowie #koronawirus #PJM",2.98
333,2020-03-24,"migam_pl",735,47,"Zobaczcie: Nowa funkcja w naszej aplikacji. #biznes #Deaf #startup #Głusi","#biznes #Deaf #startup #Głusi",2.17
237,2020-04-01,"unmute_pl",620,39,"Ważne: Kino dostępne z napisami i pętlą. #Deaf #dostępność #sztuka #muzeum","#Deaf #dostępność #sztuka #muzeum",3.14
255,2020-04-12,"iwonacichosz",714,71,"Hej! Relacja z czerwonego dywanu. #polskijezykmigowy #Głusi #lifestyle #PJM","#polskijezykmigowy #Głusi #lifestyle #PJM",1.64
488,2020-04-12,"pan_od_pjm",48,3,"Hej! Jak czytać z ruchu warg w maseczce? 😷 #polskijezykmigowy #PJM #Głusi #społeczność","#polskijezykmigowy #PJM #Głusi #społeczność",1.02
299,2020-04-15,"unmute_pl",421,56,"Cześć! Teatr, który łączy światy. #teatr #muzeum #PJM #dostępność","#teatr #muzeum #PJM #dostępność",2.27
304,2020-04-19,"muzeumslaskie",293,31,"Zobaczcie: Warsztaty plastyczne dla dzieci niesłyszących. #kultura #Głusi #społeczność #sztuka","#kultura #Głusi #społeczność #sztuka",1.8
74,2020-04-26,"fundacja_echo",141,10,"Zobaczcie: Spotkanie społeczności w ten weekend. #news #Głusi #społeczność #prawa","#news #Głusi #społeczność #prawa",3.36
413,2020-04-30,"fundacja_echo",113,11,"Hej! Sukces polskiej reprezentacji niesłyszących w sporcie! #polskijezykmigowy #Deaf #społeczność #prawa","#polskijezykmigowy #Deaf #społeczność #prawa",2.76
447,2020-05-01,"migajaca_poezja",93,7,"Cześć! Sztuka nie potrzebuje słów, by wzruszać. #polskijezykmigowy #teatr #Deaf #dostępność","#polskijezykmigowy #teatr #Deaf #dostępność",3.33
402,2020-05-03,"migajaca_poezja",71,5,"Ważne: Oprowadzanie w PJM po nowej wystawie. 🎨 #Głusi #kultura #Deaf #muzeum","#Głusi #kultura #Deaf #muzeum",2.53
89,2020-05-06,"unmute_pl",498,66,"Hej! Izolacja jest trudna, ale jesteśmy razem online. #koronawirus #zdrowie #polskijezykmigowy #Deaf","#koronawirus #zdrowie #polskijezykmigowy #Deaf",2.69
393,2020-05-12,"unmute_pl",400,17,"Ważne: Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #społeczność #PJM #maseczki #koronawirus","#społeczność #PJM #maseczki #koronawirus",1.99
574,2020-05-12,"unmute_pl",163,17,"Hej! Kino dostępne z napisami i pętlą. #społeczność #kultura #Deaf #muzeum","#społeczność #kultura #Deaf #muzeum",0.86
75,2020-05-19,"unmute_pl",360,25,"Hej! Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #koronawirus #Głusi #Deaf #PJM","#koronawirus #Głusi #Deaf #PJM",1.83
506,2020-05-20,"fundacja_echo",63,8,"Zobaczcie: Walczymy o ustawę o języku migowym! 📜 #PJM #społeczność #polskijezykmigowy #news","#PJM #społeczność #polskijezykmigowy #news",1.58
167,2020-05-26,"iwonacichosz",309,30,"Hej! Konferencja prasowa bez tłumacza? Skandal. #PJM #Deaf #społeczność #polskijezykmigowy","#PJM #Deaf #społeczność #polskijezykmigowy",0.71
184,2020-06-03,"pzg_zg",173,5,"Zobaczcie: Jak czytać z ruchu warg w maseczce? 😷 #koronawirus #maseczki #Głusi #zdrowie","#koronawirus #maseczki #Głusi #zdrowie",2.37
174,2020-06-12,"muzeumslaskie",417,46,"Hej! Kino dostępne z napisami i pętlą. #kultura #Głusi #PJM #teatr","#kultura #Głusi #PJM #teatr",2.57
400,2020-06-24,"unmute_pl",418,60,"Zobaczcie: Szczepienia - punkt dostępny z tłumaczem. #koronawirus #Głusi #pandemia #maseczki","#koronawirus #Głusi #pandemia #maseczki",2.28
231,2020-07-01,"iwonacichosz",1321,158,"Ważne: Chwila relaksu z rodziną. #społeczność #Głusi #Deaf #PJM","#społeczność #Głusi #Deaf #PJM",3.08
424,2020-07-01,"pzg_zg",148,15,"Cześć! Wywiad z Ministrem o dostępności. #Głusi #ngo #Deaf #PJM","#Głusi #ngo #Deaf #PJM",2.17
564,2020-07-07,"unmute_pl",534,36,"Cześć! Teatr, który łączy światy. #dostępność #Głusi #społeczność #PJM","#dostępność #Głusi #społeczność #PJM",2.71
29,2020-07-09,"pan_od_pjm",84,11,"Zobaczcie: Konferencja prasowa bez tłumacza? Skandal. #maseczki #Głusi #koronawirus #polskijezykmigowy","#maseczki #Głusi #koronawirus #polskijezykmigowy",1.9
316,2020-07-17,"iwonacichosz",728,55,"Hej! Relacja z czerwonego dywanu. #polskijezykmigowy #life #społeczność #actress","#polskijezykmigowy #life #społeczność #actress",1.63
332,2020-07-25,"pan_od_pjm",32,2,"Ważne: Kino dostępne z napisami i pętlą. #PJM #Deaf #dostępność #Głusi","#PJM #Deaf #dostępność #Głusi",0.68
2,2020-07-27,"swiat_gluchych",349,47,"Zobaczcie: Wywiad z Ministrem o dostępności. #społeczność #polskijezykmigowy #Głusi #ngo","#społeczność #polskijezykmigowy #Głusi #ngo",2.83
518,2020-07-29,"pan_od_pjm",98,9,"Ważne: Warsztaty plastyczne dla dzieci niesłyszących. #Głusi #społeczność #muzeum #dostępność","#Głusi #społeczność #muzeum #dostępność",2.14
196,2020-07-30,"fundacja_echo",156,3,"Ważne: Konferencja prasowa bez tłumacza? Skandal. #maseczki #Deaf #PJM #zdrowie","#maseczki #Deaf #PJM #zdrowie",3.53
182,2020-08-08,"swiat_gluchych",190,22,"Hej! Jak czytać z ruchu warg w maseczce? 😷 #pandemia #polskijezykmigowy #Głusi #maseczki","#pandemia #polskijezykmigowy #Głusi #maseczki",1.51
135,2020-08-10,"migam_pl",471,20,"Ważne: Nasze tłumaczki są dostępne 24/7. #Deaf #biznes #innowacje #tech","#Deaf #biznes #innowacje #tech",1.36
218,2020-08-17,"fundacja_echo",120,5,"Zobaczcie: Ważne zmiany w przepisach dla osób z niepełnosprawnością. #społeczność #Głusi #PJM #news","#społeczność #Głusi #PJM #news",2.78
436,2020-08-21,"migam_pl",738,14,"Ważne: Nasze tłumaczki są dostępne 24/7. #PJM #społeczność #tech #biznes","#PJM #społeczność #tech #biznes",2.09
222,2020-09-05,"pan_od_pjm",90,2,"Cześć! Konferencja prasowa bez tłumacza? Skandal. #Głusi #koronawirus #zdrowie #Deaf","#Głusi #koronawirus #zdrowie #Deaf",1.84
593,2020-09-05,"iwonacichosz",1333,101,"Cześć! Chwila relaksu z rodziną. #life #Głusi #społeczność #Deaf","#life #Głusi #społeczność #Deaf",2.99
94,2020-09-06,"fundacja_echo",87,8,"Zobaczcie: Szczepienia - punkt dostępny z tłumaczem. #pandemia #koronawirus #zdrowie #PJM","#pandemia #koronawirus #zdrowie #PJM",2.11
320,2020-09-12,"muzeumslaskie",268,17,"Ważne: Warsztaty plastyczne dla dzieci niesłyszących. #kultura #Deaf #społeczność #PJM","#kultura #Deaf #społeczność #PJM",1.58
133,2020-09-17,"migajaca_poezja",106,15,"Cześć! Warsztaty plastyczne dla dzieci niesłyszących. #muzeum #Deaf #społeczność #teatr","#muzeum #Deaf #społeczność #teatr",4.03
348,2020-09-17,"migam_pl",816,71,"Cześć! Nowa funkcja w naszej aplikacji. #PJM #startup #biznes #społeczność","#PJM #startup #biznes #społeczność",2.46
87,2020-09-22,"pan_od_pjm",94,1,"Zobaczcie: Kino dostępne z napisami i pętlą. #Głusi #polskijezykmigowy #teatr #kultura","#Głusi #polskijezykmigowy #teatr #kultura",1.9
492,2020-09-23,"migam_pl",415,61,"Zobaczcie: Jak czytać z ruchu warg w maseczce? 😷 #pandemia #Deaf #polskijezykmigowy #maseczki","#pandemia #Deaf #polskijezykmigowy #maseczki",1.32
482,2020-09-26,"unmute_pl",230,32,"Cześć! Warsztaty plastyczne dla dzieci niesłyszących. #polskijezykmigowy #dostępność #Deaf #społeczność","#polskijezykmigowy #dostępność #Deaf #społeczność",1.25
279,2020-10-03,"migajaca_poezja",52,8,"Cześć! Warsztaty plastyczne dla dzieci niesłyszących. #sztuka #polskijezykmigowy #PJM #muzeum","#sztuka #polskijezykmigowy #PJM #muzeum",2
253,2020-10-26,"migajaca_poezja",42,5,"Hej! Oprowadzanie w PJM po nowej wystawie. 🎨 #społeczność #teatr #dostępność #kultura","#społeczność #teatr #dostępność #kultura",1.57
477,2020-10-30,"iwonacichosz",733,42,"Cześć! Chwila relaksu z rodziną. #PJM #Deaf #actress #społeczność","#PJM #Deaf #actress #społeczność",1.61
242,2020-11-02,"unmute_pl",386,49,"Ważne: Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #Deaf #zdrowie #polskijezykmigowy #społeczność","#Deaf #zdrowie #polskijezykmigowy #społeczność",2.07
194,2020-11-04,"migajaca_poezja",34,4,"Zobaczcie: Sztuka nie potrzebuje słów, by wzruszać. #muzeum #PJM #społeczność #dostępność","#muzeum #PJM #społeczność #dostępność",1.27
314,2020-11-07,"pan_od_pjm",131,5,"Ważne: Oprowadzanie w PJM po nowej wystawie. 🎨 #Deaf #muzeum #dostępność #kultura","#Deaf #muzeum #dostępność #kultura",2.72
118,2020-11-11,"fundacja_kultura_bez_barier",218,6,"Ważne: Oprowadzanie w PJM po nowej wystawie. 🎨 #kultura #muzeum #dostępność #teatr","#kultura #muzeum #dostępność #teatr",2.49
43,2020-11-12,"unmute_pl",427,8,"Hej! Warsztaty plastyczne dla dzieci niesłyszących. #kultura #społeczność #dostępność #Głusi","#kultura #społeczność #dostępność #Głusi",2.07
534,2020-11-16,"swiat_gluchych",143,20,"Zobaczcie: Walczymy o ustawę o języku migowym! 📜 #polskijezykmigowy #Deaf #prawa #ngo","#polskijezykmigowy #Deaf #prawa #ngo",1.16
358,2020-11-21,"unmute_pl",557,33,"Cześć! Kino dostępne z napisami i pętlą. #kultura #PJM #muzeum #teatr","#kultura #PJM #muzeum #teatr",2.81
381,2020-11-21,"fundacja_kultura_bez_barier",162,24,"Ważne: Izolacja jest trudna, ale jesteśmy razem online. #koronawirus #polskijezykmigowy #Deaf #Głusi","#koronawirus #polskijezykmigowy #Deaf #Głusi",2.07
578,2020-11-21,"pan_od_pjm",93,8,"Ważne: Kino dostępne z napisami i pętlą. #dostępność #polskijezykmigowy #Deaf #PJM","#dostępność #polskijezykmigowy #Deaf #PJM",2.02
48,2020-11-23,"pzg_zg",132,2,"Hej! Wywiad z Ministrem o dostępności. #news #prawa #polskijezykmigowy #PJM","#news #prawa #polskijezykmigowy #PJM",1.79
416,2020-11-28,"pan_od_pjm",128,19,"Zobaczcie: Oprowadzanie w PJM po nowej wystawie. 🎨 #dostępność #polskijezykmigowy #teatr #Deaf","#dostępność #polskijezykmigowy #teatr #Deaf",2.94
597,2020-11-28,"muzeumslaskie",403,23,"Hej! Szczepienia - punkt dostępny z tłumaczem. #zdrowie #Głusi #społeczność #pandemia","#zdrowie #Głusi #społeczność #pandemia",2.37
157,2020-11-29,"iwonacichosz",1011,110,"Ważne: Bycie Głuchą to moja supermoc. #PJM #lifestyle #Deaf #społeczność","#PJM #lifestyle #Deaf #społeczność",2.34
200,2020-11-30,"unmute_pl",600,22,"Hej! Warsztaty plastyczne dla dzieci niesłyszących. #teatr #dostępność #polskijezykmigowy #społeczność","#teatr #dostępność #polskijezykmigowy #społeczność",2.96
251,2020-12-07,"pan_od_pjm",147,3,"Hej! Warsztaty plastyczne dla dzieci niesłyszących. #kultura #muzeum #teatr #sztuka","#kultura #muzeum #teatr #sztuka",3
322,2020-12-09,"fundacja_echo",75,5,"Cześć! Nowe statystyki dotyczące PJM w Polsce. #news #polskijezykmigowy #Głusi #społeczność","#news #polskijezykmigowy #Głusi #społeczność",1.78
386,2020-12-10,"pzg_zg",214,22,"Cześć! Spotkanie społeczności w ten weekend. #Deaf #Głusi #ngo #news","#Deaf #Głusi #ngo #news",3.15
586,2020-12-13,"fundacja_kultura_bez_barier",186,10,"Cześć! Oprowadzanie w PJM po nowej wystawie. 🎨 #teatr #Deaf #Głusi #dostępność","#teatr #Deaf #Głusi #dostępność",2.18
369,2020-12-14,"migam_pl",771,57,"Zobaczcie: Jak czytać z ruchu warg w maseczce? 😷 #zdrowie #polskijezykmigowy #koronawirus #społeczność","#zdrowie #polskijezykmigowy #koronawirus #społeczność",2.3
338,2020-12-17,"iwonacichosz",1153,82,"Zobaczcie: Konferencja prasowa bez tłumacza? Skandal. #koronawirus #PJM #polskijezykmigowy #Głusi","#koronawirus #PJM #polskijezykmigowy #Głusi",2.57
434,2020-12-18,"muzeumslaskie",497,56,"Hej! Jak czytać z ruchu warg w maseczce? 😷 #koronawirus #maseczki #Głusi #zdrowie","#koronawirus #maseczki #Głusi #zdrowie",3.07
543,2020-12-22,"pzg_zg",118,16,"Zobaczcie: Zapraszamy na bezpłatne porady prawne. #ngo #news #prawa #polskijezykmigowy","#ngo #news #prawa #polskijezykmigowy",1.79
14,2021-01-03,"fundacja_echo",73,8,"Zobaczcie: Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #pandemia #koronawirus #Deaf #polskijezykmigowy","#pandemia #koronawirus #Deaf #polskijezykmigowy",1.8
577,2021-01-07,"fundacja_echo",65,7,"Zobaczcie: Walczymy o ustawę o języku migowym! 📜 #Głusi #polskijezykmigowy #Deaf #PJM","#Głusi #polskijezykmigowy #Deaf #PJM",1.6
17,2021-01-08,"fundacja_kultura_bez_barier",238,13,"Cześć! Oprowadzanie w PJM po nowej wystawie. 🎨 #kultura #dostępność #społeczność #PJM","#kultura #dostępność #społeczność #PJM",2.79
185,2021-01-10,"migam_pl",1100,124,"Cześć! Nasze tłumaczki są dostępne 24/7. #tech #PJM #polskijezykmigowy #społeczność","#tech #PJM #polskijezykmigowy #społeczność",3.4
107,2021-01-11,"pzg_zg",241,32,"Zobaczcie: Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #PJM #koronawirus #maseczki #pandemia","#PJM #koronawirus #maseczki #pandemia",3.64
30,2021-01-18,"swiat_gluchych",194,4,"Ważne: Jak czytać z ruchu warg w maseczce? 😷 #maseczki #koronawirus #społeczność #polskijezykmigowy","#maseczki #koronawirus #społeczność #polskijezykmigowy",1.41
58,2021-01-20,"unmute_pl",238,30,"Ważne: Kino dostępne z napisami i pętlą. #PJM #dostępność #polskijezykmigowy #społeczność","#PJM #dostępność #polskijezykmigowy #społeczność",1.28
274,2021-01-22,"swiat_gluchych",246,28,"Cześć! Ważne zmiany w przepisach dla osób z niepełnosprawnością. #news #społeczność #prawa #polskijezykmigowy","#news #społeczność #prawa #polskijezykmigowy",1.96
376,2021-01-24,"swiat_gluchych",269,39,"Zobaczcie: Wywiad z Ministrem o dostępności. #polskijezykmigowy #PJM #prawa #społeczność","#polskijezykmigowy #PJM #prawa #społeczność",2.2
385,2021-01-29,"pan_od_pjm",95,3,"Zobaczcie: Sztuka nie potrzebuje słów, by wzruszać. #dostępność #Głusi #Deaf #kultura","#dostępność #Głusi #Deaf #kultura",1.96
66,2021-02-08,"pzg_zg",156,11,"Cześć! Domagamy się dostępności w urzędach. #news #Głusi #ngo #Deaf","#news #Głusi #ngo #Deaf",2.23
124,2021-02-15,"unmute_pl",707,53,"Zobaczcie: Jak czytać z ruchu warg w maseczce? 😷 #koronawirus #maseczki #polskijezykmigowy #pandemia","#koronawirus #maseczki #polskijezykmigowy #pandemia",3.62
260,2021-02-17,"fundacja_echo",64,7,"Zobaczcie: Spotkanie społeczności w ten weekend. #prawa #news #ngo #polskijezykmigowy","#prawa #news #ngo #polskijezykmigowy",1.58
79,2021-02-25,"pan_od_pjm",147,19,"Hej! Teatr, który łączy światy. #sztuka #teatr #muzeum #społeczność","#sztuka #teatr #muzeum #społeczność",3.32
20,2021-02-27,"muzeumslaskie",545,79,"Cześć! Kino dostępne z napisami i pętlą. #Deaf #teatr #społeczność #muzeum","#Deaf #teatr #społeczność #muzeum",3.47
377,2021-03-02,"iwonacichosz",660,82,"Zobaczcie: Dziś nagrywamy nowy projekt! 🎬 #Głusi #polskijezykmigowy #PJM #społeczność","#Głusi #polskijezykmigowy #PJM #społeczność",1.55
441,2021-03-07,"migam_pl",1059,69,"Cześć! Nasze tłumaczki są dostępne 24/7. #innowacje #Głusi #tech #PJM","#innowacje #Głusi #tech #PJM",3.13
308,2021-03-08,"unmute_pl",402,4,"Cześć! Oprowadzanie w PJM po nowej wystawie. 🎨 #kultura #muzeum #dostępność #Głusi","#kultura #muzeum #dostępność #Głusi",1.93
270,2021-03-29,"fundacja_kultura_bez_barier",201,12,"Cześć! Kino dostępne z napisami i pętlą. #dostępność #Głusi #społeczność #Deaf","#dostępność #Głusi #społeczność #Deaf",2.37
440,2021-03-30,"pzg_zg",102,7,"Ważne: Wsparcie dla seniorów G/głuchych. #prawa #Deaf #ngo #społeczność","#prawa #Deaf #ngo #społeczność",1.45
21,2021-04-05,"migajaca_poezja",44,5,"Cześć! Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #PJM #koronawirus #Głusi #polskijezykmigowy","#PJM #koronawirus #Głusi #polskijezykmigowy",1.63
263,2021-04-05,"migajaca_poezja",71,8,"Zobaczcie: Ważny komunikat Ministerstwa Zdrowia (tłumaczenie PJM). #polskijezykmigowy #zdrowie #Głusi #pandemia","#polskijezykmigowy #zdrowie #Głusi #pandemia",2.63
23,2021-04-06,"fundacja_echo",77,10,"Ważne: Sukces polskiej reprezentacji niesłyszących w sporcie! #Deaf #społeczność #ngo #PJM","#Deaf #społeczność #ngo #PJM",1.93
556,2021-04-13,"unmute_pl",665,27,"Hej! Sztuka nie potrzebuje słów, by wzruszać. #społeczność #Deaf #Głusi #sztuka","#społeczność #Deaf #Głusi #sztuka",3.3
224,2021-04-19,"iwonacichosz",1194,108,"Zobaczcie: Chwila relaksu z rodziną. #Głusi #life #PJM #społeczność","#Głusi #life #PJM #społeczność",2.71
595,2021-04-19,"fundacja_echo",105,8,"Ważne: Domagamy się dostępności w urzędach. #PJM #Deaf #prawa #Głusi","#PJM #Deaf #prawa #Głusi",2.51
474,2021-04-20,"iwonacichosz",1051,40,"Hej! Macierzyństwo bez słów jest piękne. #Głusi #polskijezykmigowy #life #Deaf","#Głusi #polskijezykmigowy #life #Deaf",2.27
483,2021-04-24,"fundacja_kultura_bez_barier",154,19,"Hej! Sztuka nie potrzebuje słów, by wzruszać. #kultura #polskijezykmigowy #PJM #sztuka","#kultura #polskijezykmigowy #PJM #sztuka",1.92
233,2021-04-28,"migajaca_poezja",76,11,"Ważne: Oprowadzanie w PJM po nowej wystawie. 🎨 #polskijezykmigowy #społeczność #teatr #sztuka","#polskijezykmigowy #społeczność #teatr #sztuka",2.9
419,2021-05-07,"fundacja_kultura_bez_barier",130,10,"Ważne: Warsztaty plastyczne dla dzieci niesłyszących. #muzeum #dostępność #polskijezykmigowy #teatr","#muzeum #dostępność #polskijezykmigowy #teatr",1.56
484,2021-05-13,"unmute_pl",732,15,"Hej! Kino dostępne z napisami i pętlą. #polskijezykmigowy #sztuka #teatr #społeczność","#polskijezykmigowy #sztuka #teatr #społeczność",3.56
307,2021-05-18,"unmute_pl",635,88,"Cześć! Teatr, który łączy światy. #Głusi #teatr #Deaf #polskijezykmigowy","#Głusi #teatr #Deaf #polskijezykmigowy",3.44
309,2021-05-21,"swiat_gluchych",365,25,"Cześć! Walczymy o ustawę o języku migowym! 📜 #PJM #społeczność #Głusi #ngo","#PJM #społeczność #Głusi #ngo",2.79
422,2021-05-23,"pan_od_pjm",153,4,"Ważne: Oprowadzanie w PJM po nowej wystawie. 🎨 #teatr #muzeum #społeczność #PJM","#teatr #muzeum #społeczność #PJM",3.14
180,2021-05-26,"pzg_zg",214,8,"Hej! Ważne zmiany w przepisach dla osób z niepełnosprawnością. #społeczność #Głusi #PJM #news","#społeczność #Głusi #PJM #news",2.96
215,2021-06-03,"fundacja_echo",114,12,"Ważne: Domagamy się dostępności w urzędach. #polskijezykmigowy #news #ngo #Deaf","#polskijezykmigowy #news #ngo #Deaf",2.8
468,2021-06-03,"fundacja_kultura_bez_barier",213,20,"Cześć! Jak czytać z ruchu warg w maseczce? 😷 #zdrowie #pandemia #Głusi #społeczność","#zdrowie #pandemia #Głusi #społeczność",2.59
566,2021-06-08,"pan_od_pjm",93,10,"Ważne: Kino dostępne z napisami i pętlą. #dostępność #kultura #muzeum #Deaf","#dostępność #kultura #muzeum #Deaf",2.06
228,2021-06-10,"pzg_zg",233,22,"Hej! Relacja z demonstracji w Warszawie. #polskijezykmigowy #Głusi #społeczność #prawa","#polskijezykmigowy #Głusi #społeczność #prawa",3.4
599,2021-06-11,"migam_pl",685,60,"Hej! Nowa funkcja w naszej aplikacji. #Deaf #biznes #PJM #polskijezykmigowy","#Deaf #biznes #PJM #polskijezykmigowy",2.07
19,2021-06-17,"migam_pl",945,75,"Hej! Konferencja prasowa bez tłumacza? Skandal. #polskijezykmigowy #maseczki #zdrowie #Deaf","#polskijezykmigowy #maseczki #zdrowie #Deaf",2.83
192,2021-06-22,"iwonacichosz",877,52,"Hej! Bycie Głuchą to moja supermoc. #actress #Głusi #life #PJM","#actress #Głusi #life #PJM",1.94
427,2021-06-30,"pan_od_pjm",70,4,"Ważne: Oprowadzanie w PJM po nowej wystawie. 🎨 #muzeum #Deaf #polskijezykmigowy #społeczność","#muzeum #Deaf #polskijezykmigowy #społeczność",1.48
361,2021-07-03,"pzg_zg",161,18,"Cześć! Wywiad z Ministrem o dostępności. #polskijezykmigowy #Głusi #news #PJM","#polskijezykmigowy #Głusi #news #PJM",2.39
582,2021-07-11,"iwonacichosz",1064,83,"Zobaczcie: Dziś nagrywamy nowy projekt! 🎬 #Głusi #life #społeczność #PJM","#Głusi #life #społeczność #PJM",2.39
439,2021-07-19,"iwonacichosz",650,47,"Ważne: Bycie Głuchą to moja supermoc. #actress #PJM #Głusi #Deaf","#actress #PJM #Głusi #Deaf",1.45
455,2021-07-19,"unmute_pl",322,5,"Zobaczcie: Kino dostępne z napisami i pętlą. #polskijezykmigowy #kultura #społeczność #PJM","#polskijezykmigowy #kultura #społeczność #PJM",1.56
154,2021-07-22,"fundacja_echo",132,6,"Ważne: Ważne zmiany w przepisach dla osób z niepełnosprawnością. #prawa #Głusi #Deaf #ngo","#prawa #Głusi #Deaf #ngo",3.07
553,2021-07-23,"muzeumslaskie",447,63,"Zobaczcie: Teatr, który łączy światy. #dostępność #PJM #muzeum #Deaf","#dostępność #PJM #muzeum #Deaf",2.83
585,2021-07-24,"pan_od_pjm",120,10,"Cześć! Szczepienia - punkt dostępny z tłumaczem. #pandemia #polskijezykmigowy #maseczki #społeczność","#pandemia #polskijezykmigowy #maseczki #społeczność",2.6
187,2021-07-27,"migajaca_poezja",68,8,"Cześć! Kino dostępne z napisami i pętlą. #teatr #muzeum #Głusi #PJM","#teatr #muzeum #Głusi #PJM",2.53
173,2021-07-29,"muzeumslaskie",391,25,"Cześć! Teatr, który łączy światy. #Głusi #kultura #polskijezykmigowy #społeczność","#Głusi #kultura #polskijezykmigowy #społeczność",2.31
473,2021-07-31,"pan_od_pjm",47,5,"Ważne: Warsztaty plastyczne dla dzieci niesłyszących. #kultura #polskijezykmigowy #sztuka #muzeum","#kultura #polskijezykmigowy #sztuka #muzeum",1.04
71,2021-08-11,"unmute_pl",520,64,"Ważne: Szczepienia - punkt dostępny z tłumaczem. #polskijezykmigowy #pandemia #Głusi #zdrowie","#polskijezykmigowy #pandemia #Głusi #zdrowie",2.78
